Translation #,Category,Wireframe Ref,KMCO Internal Category Name,KMCO Internal Field Code,Field Name,Original KMCO US English Copy,FOX Copy Edit - US English,Australia / ME English (FX),English Description,Russian,German,Turkish,Italian,Bulgarian,Serbian,Slovenian,Japanese,Chinese (Traditional),UK / Philippines (FOX),ME Arabic,Polish,Netherlands,Spanish (ES),Brazil,South East Asia - English (FOX Movies Premium)
AT062,Canvas,20,-,G,,Adjust Your Photo [Alternate],Adjust Your Photo [Alternate],Adjust Your Photo [Alternate],Adjust Your Photo [Alternate],Корректируйте ваше фото [Alternate],Passe dein Foto an. [Alternate],Fotoğrafını Ayarla [Alternate],Aggiusta la tua foto [Alternate],Регулирай снимката,Prilagodi fotku,Nazaj,写真を調整する[Alternate],調整你的照片 [Alternate],Adjust Your Photo [Alternate],تعديل صورتك ( تبديل),Dopasuj swoje zdjęcie ,Pas je foto aan [Alternate],Ajuste tu foto [Alternate],Ajustar sua foto [Alternate],Adjust Your Photo [Alternate]
AT063,Canvas,20,-,G,,Drag the box around your face and click the checkbox to continue,Drag the box around your face and click the checkbox to continue,Drag the box around your face and click the checkbox to continue,Drag the box around your face and click the check box to continue,"Установите рамку на ваше лицо и поставьте галочку, чтобы продолжить","Ziehe das Quadrat auf dein Gesicht und setze den Haken in der Box, um fortzufahren.",Yüzünün etrafındaki kutucuğu sürükle ve devam etmek için onay kutusunu işaretle,Trascina il riquadro attorno al tuo viso e clicca la casella di spunta per continuare,"Изтеглете клетката около лицето си и кликнете в квадратчето, за да продължите",Prevuci kockicu preko lica i štikliraj da ideš dalje,Nazaj,顔のところまでボックスをドラッグし、チェックボックスをクリックして続ける,在你的臉上拖曳方框，點選勾選框以繼續,Drag the box around your face and click the checkbox to continue,اسحب المربع حول وجهك واضغط على خانة الاختيار للمواصلة,"Przeciągnij ramkę na twarz i zaznacz, by kontynuować ",Sleep de box om je gezicht en klik op de checkbox om door te gaan.,Arrastre el cuadro alrededor de la cara y haga clic en la casilla de verificación para continuar,Arraste o quadro ao redor de seu rosto e clique na caixa de verificação para continuar,Drag the box around your face and click the checkbox to continue
AT064,Canvas,21,-,G,make_cover,Make a Facebook Cover Photo,Make a Facebook Cover Photo,Make a Facebook Cover Photo,Make a Facebook Cover Photo,Сделать фото для обложки Facebook,Foto als Coverbild verwenden,Facebook Kapak Fotoğrafı Yap,Crea una foto di copertina Facebook,Направете снимка за заглавна страница във Facebook,Napravi naslovnu fotku za svoj Fejsbuk,"Klikni in izberi, komu boš poslal fotografijo.",Facebookのカバー写真を作る,製作Facebook封面照,Make a Facebook Cover Photo,اصنع صورة غلاف لحسابك على فيسبوك,Stwórz zdjęcie w tle na Facebooka,Maak een Facebook Coverfoto,Hacer una Foto de portada Facebook,Fazer uma foto de capa do Facebook,Make a Facebook Cover Photo
AT065,Canvas,21,-,G,,Saved to Your [Name of Folder] On Facebook,Saved to Your [Name of Folder] On Facebook,Saved to Your [Name of Folder] On Facebook,Save to Your [Name of Folder] On Facebook,Сохранено в папке [Name of Folder] в Facebook,In [Name of Folder] auf Facebook gespeichert.,Facebook'ta [Name of Folder] Albümüne Kaydedildi  ,Salvata in [Name of Folder] nella tua pagina Facebook,Запази във (име на папката) във Facebook,Sačuvano u tvom  [Name of Folder] folderu na Fejsbuku,Prekliči,Facebookのあなたの[Name of Folder]へセーブしました,存到你的 [Name of Folder] 在Facebook上,Saved to Your [Name of Folder] On Facebook,تم الحفظ في (اسم الملف) على فيسبوك,Zapisane w Twoim [Name of Folder] na Facebooku,Opgeslagen in [Name of Folder] op Facebook,Guardan en [Name of Folder] en Facebook,Salvar em [Name of Folder] no Facebook,Saved to Your [Name of Folder] On Facebook
AT066,Canvas,21,-,G,,"Click [""Change Cover Button""] on your Facebook page to set","Click [""Change Cover Button""] on your Facebook page to set","Click [""Change Cover Button""] on your Facebook page to set","Click [""Change Cover Button""] on your Facebook page to set up","Для установки кликните [""Change Cover Button] на своей страничке в Facebook ","Klicke  [""Change Cover Button""] auf deiner Facebook-Seite um zu speichern.","Facebook sayfanda ayarlamak için [""Change Cover Button""]e tıkla. ","Clicca [""Change Cover Button""] sulla tua pagina Facebook per impostare","Кликнете върху ""промени заглавната страница"" в своя сайт във Facebook",Klikni da promeniš naslovnu fotku na svom Fejsbuku,Prekliči,"Facebookの[""Change Cover Button""]をクリックし、セットする","點選 [""Change Cover Button""] 在你的Facebook頁面來設定","Click [""Change Cover Button""] on your Facebook page to set","انقر على زر (""تغيير الغلاف"") في صفحتك على فيسبوك للتنفيذ","Kliknij [""Change Cover Button""] na swoim Facebooku, by ustawić","Klik [""Change Cover Button'] op je Facebook pagina om in te stellen.","Haga clic en [""Change Cover Button""] en su página de Facebook para establecer","Clique em [""Change Cover Button""] na sua página do Facebook para configurar","Click [""Change Cover Button""] on your Facebook page to set"
AT067,Canvas,21,-,G,,Show Saved Cover Photo,Show Saved Cover Photo,Show Saved Cover Photo,Show Saved Cover Photo,Показать сохраненную фотографию обложки,Gespeichertes Coverbild anzeigen,Kaydedilmiş Kapak Fotoğrafını Göster,Mostra foto di copertina salvata,Покажи запазената снимка,Prikaži sačuvanu naslovnu fotku.,Nastavi,セーブしたカバー写真を表示する,顯示儲存的封面照片,Show Saved Cover Photo,إظهار صورة الغلاف المحفوظة,"Pokaż zapisane zdjęcie w tle
",Laat opgeslagen Coverfoto zien.,Mostrar fotos de portada guardadas,Mostrar foto de capa salva,Show Saved Cover Photo
AT068,Canvas,23,-,C,call_to_action_not_ios,Want to get bitten and join The Walking Dead? Then log on to deadyourself.com from your desktop PC to create your own photo!,Want to get bitten and join The Walking Dead? Then log on to deadyourself.com from your desktop PC to create your own photo!,Want to get bitten and join The Walking Dead? Then log on to deadyourself.com from your desktop PC to create your own photo!,Want to get bitten and join The Walking Dead? Then log on to deadyourself.com from your desktop PC to create your own photo!,Хочешь стать Ходячим мертвецом? Дай зомби укусить себя! Заходи в группу http://www.facebook.com/FOXtv.ru и создай свой портрет,"Willst du gebissen werden und Teil von The Walking Dead werden? Dann gehe von deinem PC aus auf deadyourself.com, um dein eigenes Zombie-Foto zu erstellen.","Isırılmak ve The Walking Dead'e katılmak ister misin? O halde bilgisayarından deadyourself.com'a giriş yap ve kendi fotoğrafını oluştur., ",Vuoi farti mordere e diventare uno ZOMBIE con Walking Dead Yourself? Effettua l’accesso su deadyourself.com dal tuo PC desktop per creare la tua foto!,"Искате ли да ви ухапе зомби и да се присъедините към Живите мъртви? Влезте в deadyourself.com на вашия компютър, за да създадете своя снимка!","Hoćeš da te ujedu i da postaneš ""Okružen mrtvima""? Uloguj se na deadyourself.com sa svog kompjutera i napravi svoju fotku!",Piši nam,ゾンビに襲われてウォーキング・デッドの仲間になりたいですか？　あなたのパソコンからdeadyourself.comにアクセスして、自分のゾンビ写真を作成しよう！,想要被咬並成為活屍嗎？從桌上型電腦登入 deadyourself.com，創造屬於自己的照片！,Want to get bitten and join The Walking Dead? Then log on to deadyourself.com from your desktop PC to create your own photo!,أتود أن يعقرك أحد الأموات السائرون وتنضم إليهم؟ قم بزيارة موقع deadyourself.com من حاسوبك المكتبي لصنع صورتك الخاصة!,Chcesz dać się ugryźć i dołączyć do The Walking Dead? Polub nas na www.facebook.com/FOXPolska.com i stwórz własne zdjęcie!,Wil jij gebeten worden en je aansluiten bij The Walking Dead? Log in op deadyourself.com en maak je eigen foto!,¿Quieres ser mordido y unirte a The Walking Dead? ¡Inicia sesión en deadyourself.com desde el escritorio de tu PC para crear tu propia foto!,Quer ser mordido e se juntar a The Walking Dead? Inicie a sessão em deadyourself.com do seu desktop PC para criar sua própria foto!,Want to get bitten and join The Walking Dead? Then log on to deadyourself.com from your desktop PC to create your own photo!
AT069,Canvas,23,-,C,call_to_action_ios,Want to get bitten and join The Walking Dead? Then download the full app from the App store to create your own photo!,Want to get bitten and join The Walking Dead? Then download the full app from the App store to create your own photo!,Want to get bitten and join The Walking Dead? Then download the full app from the App store to create your own photo!,Want to get bitten and join The Walking Dead? Then download the full app from the App store to create your own photo!,Хочешь стать Ходячим мертвецом? Дай зомби укусить себя! Загрузи полную версию приложения в App Store и создай свой портрет,Willst du gebissen werden und Teil von The Walking Dead werden? Dann lade dir die App aus dem App Store herunter und erstelle dein Zombie-Foto!,Isırılmak ve The Walking Dead'e katılmak ister misin? Hemen kendi fotoğrafını oluşturmak için App store'dan tam uygulamayı indir!,Vuoi farti mordere e diventare uno ZOMBIE con Walking Dead Yourself? Effettua l’accesso su deadyourself.com dal tuo PC desktop per creare la tua foto!,Искате ли да ви ухапе зомби и да се присъедините към Живите мъртви? Изтеглете цялото приложение от Приложения и създайте своя снимка!,"Hoćeš da te ujedu i da postaneš ""Okružen mrtvima""? Uloguj se na deadyourself.com sa svog kompjutera i napravi svoju fotku!",Zasluge,ゾンビに襲われてウォーキング・デッドの仲間になりたいですか？　App Storeからアプリをダウンロードして、自分のゾンビ写真を作成しよう！,想要被咬並成為活屍嗎？快到App store下載完整版app，創造屬於自己的照片！,Want to get bitten and join The Walking Dead? Then download the full app from the App store to create your own photo!,أتود أن يعقرك أحد الأموات السائرون وتنضم إليهم؟ قم بتنزيل التطبيق كاملاً من متجر التطبيقات لكي تصنع صورتك الخاصة,"Chcesz dać się ugryźć i dołączyć do The Walking Dead? Ściągnij aplikację z App Store, by stworzyć własne zdjęcie!",Wil jij gebeten worden en je aansluiten bij The Walking Dead? Download de Dead Yourself app en maak je eigen foto!,¿Quieres ser mordido y unirte a The Walking Dead? ¡Descarga la aplicación completa a través de la App Store para crear tu propia foto!,Quer ser mordido e se juntar a The Walking Dead? Faça o download do aplicativo via App Store para criar sua própria foto!,Want to get bitten and join The Walking Dead? Then download the full app from the App store to create your own photo!
AT070,Canvas,n/a,-,G,-,Redirecting you to The Walking Dead Dead Yourself app,Redirecting you to The Walking Dead Dead Yourself app,Redirecting you to The Walking Dead Dead Yourself app,Redirecting you to The Walking Dead Yourself app,Вы будете перенаправлены в приложение Зомбилук за 3 клика,Wir leiten dich zur Walking Dead Yourself App weiter...,The Walking Dead Kendini Zombi Yap uygulamasına yönlendiriliyorsun,Reindirizzamento verso l’App Walking Dead Yourself,Пренасочване към приложението Стани един от Живите мъртви,"Preusmeravanje na aplikaciju ""Okruži se mrtvima""!",Izbriši,ウォーキング・デッドの「Walking Dead Yourself!」アプリに移動する,重新將你導向化身陰屍路app,Redirecting you to The Walking Dead Dead Yourself app,يتم الآن إعادة توجيهك إلى تطبيق Walking Dead Yourself,Przekierowanie do aplikacji Przerób się na The Walking Dead,Je wordt verwezen naar de Walking Dead Yourself app.,Redirigiéndote a The Walking Dead Dead Yourself app,Redirecionando a The Walking Dead Dead Yourself app,Redirecting you to The Walking Dead Dead Yourself app
AT077,FB Canvas,n/a,G,,take_with_webcam,Take a Pic With Your Webcam,Take a Pic With Your Webcam,Take a Pic With Your Webcam,Take a Pic With Your Webcam,Сделать фото веб-камерой,Foto mit Webcam aufnehmen,Webcamle fotoğraf çek,Scatta una foto con la tua webcam,Направи снимка с уебкамерата си,Slikaj se veb kamerom,"Tvoja fotografija in podpis bosta izbrisana iz javne galerije, vendar bosta še vedno v spominu tvojega fotoaparata in na drugih straneh, kjer si ju delil ali objavil.",ウェブカメラで写真を撮る,用你的網路攝影機照一張照片,Take a Pic With Your Webcam,التقط صورة باستخدام كاميرا الويب الخاصة بك,Zrób zdjęcie przy użyciu kamery,Maak een foto met je webcam.,Toma una foto con tu webcam,Tirar uma foto com sua Webcam,Take a Pic With Your Webcam
AT078,FB Canvas,,G,,or,Or,Or,Or,Or,Или,oder,Ya da,Oppure,или,Ili,Izbriši iz javne galerije?,それとも,或者,Or,أو,Lub,Of,O,Ou,Or
AT079,FB Canvas,,G,,view_all,See All,See All,See All,See All,Смотреть все,Alle anzeigen,Hepsini gör,Guarda tutto,Виж всички,Vidi sve,Brišem...,すべて見る,看全部,See All,إظهار الكل,Zobacz wszystkie,Zie alles,Ver todos,Ver todos,See All
AT080,FB Canvas,,G,,languagesText_Editor.xml => styles_loading,Loading Styles,Loading Styles,Loading Styles,Loading Styles,Загрузки стилей,Items werden geladen...,Seçenekleri yüklüyor,Stili di caricamento,начини за зареждане,Stilovi učitavanja,Opravljeno,スタイルを読み込んでいます,載入造型中,Loading Styles,أنماط التحميل,Ładowanie,Stijlen laden,Estilos de Carga,Carregando estilos,Loading Styles
